timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.00555731,,2683.35,,,,,,,,,,,,,,,,1707.29,,,,,,,,,,,,,,,
0.00556291,,7449.55,,,,,,,,,,,,,,,,4549.86,,,,,,,,,,,,,,,
0.005567,,4880.27,,,,,,,,,,,,,,,,1926.34,,,,,,,,,,,,,,,
0.00556837,,16361.1,,,,,,,,,,,,,,,,6992.19,,,,,,,,,,,,,,,
0.00556985,,3109.81,,,,,,,,,,,,,,,,2175.58,,,,,,,,,,,,,,,
0.00557511,,8859.01,,,,,,,,,,,,,,,,5577.43,,,,,,,,,,,,,,,
0.0055761,,7403.58,,,,,,,,,,,,,,,,4661.48,,,,,,,,,,,,,,,
0.00557685,,6462.15,,,,,,,,,,,,,,,,4378.29,,,,,,,,,,,,,,,
0.00557856,,6035.13,,,,,,,,,,,,,,,,4071.47,,,,,,,,,,,,,,,
0.00558169,,3193.17,,,,,,,,,,,,,,,,1857.64,,,,,,,,,,,,,,,
0.00559016,,14010.2,,,,,,,,,,,,,,,,8663.41,,,,,,,,,,,,,,,
0.00561031,,8168.92,,,,,,,,,,,,,,,,5113.93,,,,,,,,,,,,,,,
0.00561554,,2751.02,,,,,,,,,,,,,,,,1621.16,,,,,,,,,,,,,,,
0.00562006,,21860.5,,,,,,,,,,,,,,,,4158.49,,,,,,,,,,,,,,,
0.00562124,,0.59368,,,,,,,,,,,,,,,,4823.43,,,,,,,,,,,,,,,
0.00562313,,6927.94,,,,,,,,,,,,,,,,4708.14,,,,,,,,,,,,,,,
0.00562816,,10910,,,,,,,,,,,,,,,,6914.11,,,,,,,,,,,,,,,
0.00564591,,3967.57,,,,,,,,,,,,,,,,2499.87,,,,,,,,,,,,,,,
0.00565313,,9387.54,,,,,,,,,,,,,,,,5990.65,,,,,,,,,,,,,,,
0.00565608,,10942.5,,,,,,,,,,,,,,,,7034.53,,,,,,,,,,,,,,,
0.00566126,,4756.87,,,,,,,,,,,,,,,,2882.01,,,,,,,,,,,,,,,
0.00566564,,14874.4,,,,,,,,,,,,,,,,6583.19,,,,,,,,,,,,,,,
0.00566822,,3625.79,,,,,,,,,,,,,,,,2040.77,,,,,,,,,,,,,,,
0.00567134,,12204.3,,,,,,,,,,,,,,,,7703.47,,,,,,,,,,,,,,,
0.00567367,,3155.77,,,,,,,,,,,,,,,,2051.85,,,,,,,,,,,,,,,
0.00567466,,0.561203,,,,,,,,,,,,,,,,4400.54,,,,,,,,,,,,,,,
0.00569093,,12133.2,,,,,,,,,,,,,,,,7903.32,,,,,,,,,,,,,,,
0.00569529,,12809.4,,,,,,,,,,,,,,,,8309.57,,,,,,,,,,,,,,,
0.00570133,,4819.78,,,,,,,,,,,,,,,,2948.56,,,,,,,,,,,,,,,
0.00570323,,11242.2,,,,,,,,,,,,,,,,7336.05,,,,,,,,,,,,,,,
0.00570959,,3067.56,,,,,,,,,,,,,,,,1836.62,,,,,,,,,,,,,,,
